focus_r,d,a,b,q,covered_residue_count,selected_order,classes_fully_covered,classes_partially_covered
961,131,6,518,3108,8,1,257,48262
961,87,4,344,344,2,2,120,50306
961,79,20,296,1480,4,3,115,48262
961,11,6,38,228,4,4,102,0
961,59,6,230,1380,8,5,96,42200
961,31,8,116,232,2,6,65,0
961,63,4,248,248,2,7,55,53823
961,79,104,212,5512,4,8,54,54150
961,39,4,152,152,2,9,102,0
961,15,2,58,116,2,10,64,0
961,23,16,76,304,2,11,51,0
961,59,1,235,940,4,12,20,57890
961,63,8,244,488,2,13,10,56415
961,55,2,218,436,2,14,6,54137
961,15,1,59,236,2,15,0,60716
961,27,1,107,428,2,16,0,60716
961,35,1,139,556,2,17,0,60716
961,35,3,137,1644,4,18,0,60716
961,51,2,202,404,2,19,0,60716
961,39,5,151,3020,4,20,0,60716
961,59,30,206,6180,8,21,0,60716
961,59,10,226,2260,4,22,0,60716
961,47,21,167,14028,8,23,0,60716
961,51,11,193,8492,4,24,0,60716
961,79,2,314,628,2,25,0,60716
961,75,2,298,596,2,26,0,60716
961,59,3,233,2796,4,27,0,60716
961,63,1,251,1004,2,28,0,60716
961,83,6,326,1956,4,29,0,60716
961,87,2,346,692,2,30,0,60716
