modulus,residue,method,d,a,b
2520,0,formula_even,,,
2520,2,formula_even,,,
2520,3,formula_divisible_by_3,,,
2520,4,formula_even,,,
2520,5,general_key_d_3,3,4,8
2520,6,formula_even,,,
2520,7,formula_3_mod_4,,,
2520,8,formula_even,,,
2520,9,formula_divisible_by_3,,,
2520,10,formula_even,,,
2520,11,formula_3_mod_4,,,
2520,12,formula_even,,,
2520,13,general_key_d_3,3,4,8
2520,14,formula_even,,,
2520,15,formula_divisible_by_3,,,
2520,16,formula_even,,,
2520,17,general_key_d_7,7,4,24
2520,18,formula_even,,,
2520,19,formula_3_mod_4,,,
2520,20,formula_even,,,
2520,21,formula_divisible_by_3,,,
2520,22,formula_even,,,
2520,23,formula_3_mod_4,,,
2520,24,formula_even,,,
2520,25,general_key_d_3,3,2,10
2520,26,formula_even,,,
2520,27,formula_divisible_by_3,,,
2520,28,formula_even,,,
2520,29,general_key_d_3,3,4,8
2520,30,formula_even,,,
2520,31,formula_3_mod_4,,,
2520,32,formula_even,,,
2520,33,formula_divisible_by_3,,,
2520,34,formula_even,,,
2520,35,formula_3_mod_4,,,
2520,36,formula_even,,,
2520,37,general_key_d_3,3,4,8
2520,38,formula_even,,,
2520,39,formula_divisible_by_3,,,
2520,40,formula_even,,,
2520,41,general_key_d_7,7,4,24
2520,42,formula_even,,,
2520,43,formula_3_mod_4,,,
2520,44,formula_even,,,
2520,45,formula_divisible_by_3,,,
2520,46,formula_even,,,
2520,47,formula_3_mod_4,,,
2520,48,formula_even,,,
2520,49,general_key_d_11,11,2,42
2520,50,formula_even,,,
2520,51,formula_divisible_by_3,,,
2520,52,formula_even,,,
2520,53,general_key_d_3,3,4,8
2520,54,formula_even,,,
2520,55,formula_3_mod_4,,,
2520,56,formula_even,,,
2520,57,formula_divisible_by_3,,,
2520,58,formula_even,,,
2520,59,formula_3_mod_4,,,
2520,60,formula_even,,,
2520,61,general_key_d_3,3,4,8
2520,62,formula_even,,,
2520,63,formula_divisible_by_3,,,
2520,64,formula_even,,,
2520,65,general_key_d_7,7,4,24
2520,66,formula_even,,,
2520,67,formula_3_mod_4,,,
2520,68,formula_even,,,
2520,69,formula_divisible_by_3,,,
2520,70,formula_even,,,
2520,71,formula_3_mod_4,,,
2520,72,formula_even,,,
2520,73,general_key_d_7,7,8,20
2520,74,formula_even,,,
2520,75,formula_divisible_by_3,,,
2520,76,formula_even,,,
2520,77,general_key_d_3,3,4,8
2520,78,formula_even,,,
2520,79,formula_3_mod_4,,,
2520,80,formula_even,,,
2520,81,formula_divisible_by_3,,,
2520,82,formula_even,,,
2520,83,formula_3_mod_4,,,
2520,84,formula_even,,,
2520,85,general_key_d_3,3,4,8
2520,86,formula_even,,,
2520,87,formula_divisible_by_3,,,
2520,88,formula_even,,,
2520,89,general_key_d_7,7,4,24
2520,90,formula_even,,,
2520,91,formula_3_mod_4,,,
2520,92,formula_even,,,
2520,93,formula_divisible_by_3,,,
2520,94,formula_even,,,
2520,95,formula_3_mod_4,,,
2520,96,formula_even,,,
2520,97,general_key_d_3,3,2,10
2520,98,formula_even,,,
2520,99,formula_divisible_by_3,,,
2520,100,formula_even,,,
2520,101,general_key_d_3,3,4,8
2520,102,formula_even,,,
2520,103,formula_3_mod_4,,,
2520,104,formula_even,,,
2520,105,formula_divisible_by_3,,,
2520,106,formula_even,,,
2520,107,formula_3_mod_4,,,
2520,108,formula_even,,,
2520,109,general_key_d_3,3,4,8
2520,110,formula_even,,,
2520,111,formula_divisible_by_3,,,
2520,112,formula_even,,,
2520,113,general_key_d_7,7,4,24
2520,114,formula_even,,,
2520,115,formula_3_mod_4,,,
2520,116,formula_even,,,
2520,117,formula_divisible_by_3,,,
2520,118,formula_even,,,
2520,119,formula_3_mod_4,,,
2520,120,formula_even,,,
2520,122,formula_even,,,
2520,123,formula_divisible_by_3,,,
2520,124,formula_even,,,
2520,125,general_key_d_3,3,4,8
2520,126,formula_even,,,
2520,127,formula_3_mod_4,,,
2520,128,formula_even,,,
2520,129,formula_divisible_by_3,,,
2520,130,formula_even,,,
2520,131,formula_3_mod_4,,,
2520,132,formula_even,,,
2520,133,general_key_d_3,3,4,8
2520,134,formula_even,,,
2520,135,formula_divisible_by_3,,,
2520,136,formula_even,,,
2520,137,general_key_d_7,7,4,24
2520,138,formula_even,,,
2520,139,formula_3_mod_4,,,
2520,140,formula_even,,,
2520,141,formula_divisible_by_3,,,
2520,142,formula_even,,,
2520,143,formula_3_mod_4,,,
2520,144,formula_even,,,
2520,145,general_key_d_3,3,2,10
2520,146,formula_even,,,
2520,147,formula_divisible_by_3,,,
2520,148,formula_even,,,
2520,149,general_key_d_3,3,4,8
2520,150,formula_even,,,
2520,151,formula_3_mod_4,,,
2520,152,formula_even,,,
2520,153,formula_divisible_by_3,,,
2520,154,formula_even,,,
2520,155,formula_3_mod_4,,,
2520,156,formula_even,,,
2520,157,general_key_d_3,3,4,8
2520,158,formula_even,,,
2520,159,formula_divisible_by_3,,,
2520,160,formula_even,,,
2520,161,general_key_d_7,7,4,24
2520,162,formula_even,,,
2520,163,formula_3_mod_4,,,
2520,164,formula_even,,,
2520,165,formula_divisible_by_3,,,
2520,166,formula_even,,,
2520,167,formula_3_mod_4,,,
2520,168,formula_even,,,
2520,170,formula_even,,,
2520,171,formula_divisible_by_3,,,
2520,172,formula_even,,,
2520,173,general_key_d_3,3,4,8
2520,174,formula_even,,,
2520,175,formula_3_mod_4,,,
2520,176,formula_even,,,
2520,177,formula_divisible_by_3,,,
2520,178,formula_even,,,
2520,179,formula_3_mod_4,,,
2520,180,formula_even,,,
2520,181,general_key_d_3,3,4,8
2520,182,formula_even,,,
2520,183,formula_divisible_by_3,,,
2520,184,formula_even,,,
2520,185,general_key_d_7,7,4,24
2520,186,formula_even,,,
2520,187,formula_3_mod_4,,,
2520,188,formula_even,,,
2520,189,formula_divisible_by_3,,,
2520,190,formula_even,,,
2520,191,formula_3_mod_4,,,
2520,192,formula_even,,,
2520,193,general_key_d_7,7,8,20
2520,194,formula_even,,,
2520,195,formula_divisible_by_3,,,
2520,196,formula_even,,,
2520,197,general_key_d_3,3,4,8
2520,198,formula_even,,,
2520,199,formula_3_mod_4,,,
2520,200,formula_even,,,
2520,201,formula_divisible_by_3,,,
2520,202,formula_even,,,
2520,203,formula_3_mod_4,,,
2520,204,formula_even,,,
2520,205,general_key_d_3,3,4,8
2520,206,formula_even,,,
2520,207,formula_divisible_by_3,,,
2520,208,formula_even,,,
2520,209,general_key_d_7,7,4,24
2520,210,formula_even,,,
2520,211,formula_3_mod_4,,,
2520,212,formula_even,,,
2520,213,formula_divisible_by_3,,,
2520,214,formula_even,,,
2520,215,formula_3_mod_4,,,
2520,216,formula_even,,,
2520,217,general_key_d_3,3,2,10
2520,218,formula_even,,,
2520,219,formula_divisible_by_3,,,
2520,220,formula_even,,,
2520,221,general_key_d_3,3,4,8
2520,222,formula_even,,,
2520,223,formula_3_mod_4,,,
2520,224,formula_even,,,
2520,225,formula_divisible_by_3,,,
2520,226,formula_even,,,
