n,method,x,y,z,verified,d,a,b,n_mod_4,n_mod_8,n_mod_12,n_mod_24,n_mod_60,n_mod_120,n_mod_840
2,formula_even,1,2,2,True,,,,2,2,2,2,2,2,2
3,formula_divisible_by_3,1,6,6,True,,,,3,3,3,3,3,3,3
4,formula_even,2,4,4,True,,,,0,4,4,4,4,4,4
5,general_key_d_3,2,20,4,True,3,2,10,1,5,5,5,5,5,5
6,formula_even,3,6,6,True,,,,2,6,6,6,6,6,6
7,formula_3_mod_4,2,28,28,True,,,,3,7,7,7,7,7,7
8,formula_even,4,8,8,True,,,,0,0,8,8,8,8,8
9,formula_divisible_by_3,3,18,18,True,,,,1,1,9,9,9,9,9
10,formula_even,5,10,10,True,,,,2,2,10,10,10,10,10
11,formula_3_mod_4,3,66,66,True,,,,3,3,11,11,11,11,11
12,formula_even,6,12,12,True,,,,0,4,0,12,12,12,12
13,general_key_d_3,4,52,26,True,3,4,8,1,5,1,13,13,13,13
14,formula_even,7,14,14,True,,,,2,6,2,14,14,14,14
15,formula_divisible_by_3,5,30,30,True,,,,3,7,3,15,15,15,15
16,formula_even,8,16,16,True,,,,0,0,4,16,16,16,16
17,general_key_d_3,5,170,34,True,3,2,10,1,1,5,17,17,17,17
18,formula_even,9,18,18,True,,,,2,2,6,18,18,18,18
19,formula_3_mod_4,5,190,190,True,,,,3,3,7,19,19,19,19
20,formula_even,10,20,20,True,,,,0,4,8,20,20,20,20
21,formula_divisible_by_3,7,42,42,True,,,,1,5,9,21,21,21,21
22,formula_even,11,22,22,True,,,,2,6,10,22,22,22,22
23,formula_3_mod_4,6,276,276,True,,,,3,7,11,23,23,23,23
24,formula_even,12,24,24,True,,,,0,0,0,0,24,24,24
25,general_key_d_3,7,350,70,True,3,2,10,1,1,1,1,25,25,25
26,formula_even,13,26,26,True,,,,2,2,2,2,26,26,26
27,formula_divisible_by_3,9,54,54,True,,,,3,3,3,3,27,27,27
28,formula_even,14,28,28,True,,,,0,4,4,4,28,28,28
29,general_key_d_3,8,232,116,True,3,4,8,1,5,5,5,29,29,29
30,formula_even,15,30,30,True,,,,2,6,6,6,30,30,30
31,formula_3_mod_4,8,496,496,True,,,,3,7,7,7,31,31,31
32,formula_even,16,32,32,True,,,,0,0,8,8,32,32,32
33,formula_divisible_by_3,11,66,66,True,,,,1,1,9,9,33,33,33
34,formula_even,17,34,34,True,,,,2,2,10,10,34,34,34
35,formula_3_mod_4,9,630,630,True,,,,3,3,11,11,35,35,35
36,formula_even,18,36,36,True,,,,0,4,0,12,36,36,36
37,general_key_d_3,10,740,148,True,3,2,10,1,5,1,13,37,37,37
38,formula_even,19,38,38,True,,,,2,6,2,14,38,38,38
39,formula_divisible_by_3,13,78,78,True,,,,3,7,3,15,39,39,39
40,formula_even,20,40,40,True,,,,0,0,4,16,40,40,40
41,general_key_d_3,11,1804,164,True,3,1,11,1,1,5,17,41,41,41
42,formula_even,21,42,42,True,,,,2,2,6,18,42,42,42
43,formula_3_mod_4,11,946,946,True,,,,3,3,7,19,43,43,43
44,formula_even,22,44,44,True,,,,0,4,8,20,44,44,44
45,formula_divisible_by_3,15,90,90,True,,,,1,5,9,21,45,45,45
46,formula_even,23,46,46,True,,,,2,6,10,22,46,46,46
47,formula_3_mod_4,12,1128,1128,True,,,,3,7,11,23,47,47,47
48,formula_even,24,48,48,True,,,,0,0,0,0,48,48,48
49,general_key_d_7,14,196,196,True,7,14,14,1,1,1,1,49,49,49
50,formula_even,25,50,50,True,,,,2,2,2,2,50,50,50
51,formula_divisible_by_3,17,102,102,True,,,,3,3,3,3,51,51,51
52,formula_even,26,52,52,True,,,,0,4,4,4,52,52,52
53,general_key_d_3,14,742,371,True,3,4,8,1,5,5,5,53,53,53
54,formula_even,27,54,54,True,,,,2,6,6,6,54,54,54
55,formula_3_mod_4,14,1540,1540,True,,,,3,7,7,7,55,55,55
56,formula_even,28,56,56,True,,,,0,0,8,8,56,56,56
57,formula_divisible_by_3,19,114,114,True,,,,1,1,9,9,57,57,57
58,formula_even,29,58,58,True,,,,2,2,10,10,58,58,58
59,formula_3_mod_4,15,1770,1770,True,,,,3,3,11,11,59,59,59
60,formula_even,30,60,60,True,,,,0,4,0,12,0,60,60
61,general_key_d_3,16,976,488,True,3,4,8,1,5,1,13,1,61,61
62,formula_even,31,62,62,True,,,,2,6,2,14,2,62,62
63,formula_divisible_by_3,21,126,126,True,,,,3,7,3,15,3,63,63
