d,a,b,rule_modulus,covered_residue_count,total_q,coverage_ratio,diagnostic_leaf_count
11,1,43,172,2,172,0.0116279069767,12868
11,3,41,492,4,492,0.00813008130081,12809
19,2,74,148,2,148,0.0135135135135,11499
15,1,59,236,2,236,0.00847457627119,8770
11,6,38,228,4,228,0.0175438596491,6557
27,2,106,212,2,212,0.00943396226415,6137
15,2,58,116,2,116,0.0172413793103,5948
23,24,68,408,4,408,0.00980392156863,5928
31,2,122,244,2,244,0.00819672131148,5797
11,15,29,1740,8,1740,0.00459770114943,5778
23,3,89,1068,4,1068,0.00374531835206,5151
19,14,62,868,4,868,0.00460829493088,5106
23,23,69,276,2,276,0.00724637681159,5004
23,6,86,516,4,516,0.0077519379845,4983
35,6,134,804,4,804,0.00497512437811,4638
7,11,17,748,4,748,0.00534759358289,4441
35,2,138,276,4,276,0.0144927536232,4254
19,5,71,1420,4,1420,0.00281690140845,3916
47,2,186,372,4,372,0.010752688172,3724
27,1,107,428,2,428,0.00467289719626,3684
39,8,148,296,2,296,0.00675675675676,3649
31,8,116,232,2,232,0.00862068965517,3238
47,4,184,184,2,184,0.0108695652174,3171
47,24,164,984,4,984,0.00406504065041,2705
31,62,62,124,1,124,0.00806451612903,2658
39,20,136,680,4,680,0.00588235294118,2656
63,4,248,248,2,248,0.00806451612903,2651
39,1,155,620,4,620,0.00645161290323,2518
35,1,139,556,2,556,0.00359712230216,2487
35,3,137,1644,4,1644,0.00243309002433,2403
71,8,276,552,4,552,0.00724637681159,2055
59,6,230,1380,8,1380,0.00579710144928,1988
51,2,202,404,2,404,0.0049504950495,1975
55,8,212,424,2,424,0.00471698113208,1951
23,18,74,1332,4,1332,0.003003003003,1925
39,4,152,152,2,152,0.0131578947368,1903
55,2,218,436,2,436,0.0045871559633,1821
23,9,83,2988,4,2988,0.00133868808568,1752
47,47,141,564,2,564,0.00354609929078,1624
95,8,372,744,4,744,0.00537634408602,1585
71,2,282,564,4,564,0.00709219858156,1550
47,16,172,688,2,688,0.00290697674419,1492
23,39,53,8268,8,8268,0.000967585873246,1469
63,8,244,488,2,488,0.00409836065574,1438
27,14,94,1316,4,1316,0.00303951367781,1368
11,17,27,1836,4,1836,0.00217864923747,1339
87,4,344,344,2,344,0.00581395348837,1323
39,10,146,1460,4,1460,0.0027397260274,1317
23,16,76,304,2,304,0.00657894736842,1263
31,32,92,736,2,736,0.00271739130435,1251
